Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
1/1/2015,ALT US Equity,543.0054,,,,,,,,,,,,,,,,,,,
2/1/2015,ALT US Equity,516.0052,553.3555,555.0056,516.0052,307,516.0052,531.0053,#N/A N/A,#N/A N/A,240.5656,519.1552,165764.4,49.3368,519.1552,511.6532,499.0419,50.906,#N/A N/A,109.0026,540.2127
5/1/2015,ALT US Equity,504.005,516.0052,528.0053,504.005,235,504.005,510.0051,#N/A N/A,#N/A N/A,239.3405,519.1552,119970.8,46.0535,519.1552,511.2932,498.6519,51.404,#N/A N/A,106.4676,510.1251
6/1/2015,ALT US Equity,504.005,504.005,513.0051,504.005,297,504.005,510.0051,#N/A N/A,#N/A N/A,244.2416,518.2552,150761,46.0535,518.2552,510.7532,498.2469,49.934,#N/A N/A,106.4676,507.8745
7/1/2015,ALT US Equity,501.005,504.005,630.0063,423.0417,4544,513.0051,516.0052,#N/A N/A,#N/A N/A,391.4349,517.6552,2365427,45.1817,517.6552,510.0932,497.8869,49.174,#N/A N/A,105.8339,520.867
8/1/2015,ALT US Equity,525.0053,525.0053,543.0054,480.0048,1452,525.0053,531.0053,#N/A N/A,#N/A N/A,439.8499,517.8052,749713.3,52.8683,517.8052,510.0235,497.6619,50.933,#N/A N/A,110.9038,516.1708
9/1/2015,ALT US Equity,513.0051,522.0052,528.0053,507.0051,203,510.0051,525.0053,#N/A N/A,#N/A N/A,446.6154,517.9552,104712.9,49.1568,517.9552,509.6035,497.4818,51.531,#N/A N/A,108.3688,515.917
12/1/2015,ALT US Equity,498.005,537.0054,537.0054,483.0048,341,489.0049,498.005,#N/A N/A,#N/A N/A,451.0226,517.2052,167884.8,44.9124,517.2052,508.9442,497.2268,49.074,#N/A N/A,105.2002,491.6533
13/1/2015,ALT US Equity,489.0049,501.005,510.0051,486.0049,518,492.0049,501.005,#N/A N/A,#N/A N/A,445.696,515.8552,257207.2,42.5391,515.8552,508.1042,496.9718,48.176,#N/A N/A,103.2989,496.9022
14/1/2015,ALT US Equity,495.005,489.0049,495.005,485.9674,217,489.0049,498.005,#N/A N/A,#N/A N/A,449.0825,515.2552,106520.7,44.6394,515.2552,507.4442,496.7018,44.727,#N/A N/A,104.5664,489.8329
15/1/2015,ALT US Equity,498.005,495.005,510.0051,480.0048,983,486.0049,498.005,#N/A N/A,#N/A N/A,473.1327,514.8051,533510.9,45.708,514.8051,506.9642,496.5068,43.084,#N/A N/A,105.2002,542.7828
16/1/2015,ALT US Equity,489.0049,522.0052,522.0052,465.0047,6678,489.0049,504.005,#N/A N/A,#N/A N/A,691.8782,513.1551,3178492,43.025,513.1551,506.3642,496.3268,43.371,#N/A N/A,103.2989,475.9698
19/1/2015,ALT US Equity,489.0049,522.0052,522.0052,465.0047,6678,489.0049,504.005,#N/A N/A,#N/A N/A,691.8782,513.1551,3178492,43.025,513.1551,506.3642,496.3268,43.371,#N/A N/A,103.2989,475.9698
20/1/2015,ALT US Equity,471.0047,489.0049,489.0049,456.0046,377,468.0047,477.0048,#N/A N/A,#N/A N/A,704.441,510.9051,178215.7,38.1959,510.9051,505.2842,496.0868,43.202,#N/A N/A,99.4965,472.2758
21/1/2015,ALT US Equity,453.0045,474.0047,474.0047,453.0045,732,453.0045,459.0046,#N/A N/A,#N/A N/A,728.8565,505.9551,335893.8,34.0769,505.9551,503.9642,495.7868,44.312,#N/A N/A,95.6941,458.5798
22/1/2015,ALT US Equity,456.0046,453.0045,462.0046,447.0045,650,453.0045,456.0046,#N/A N/A,#N/A N/A,745.3353,502.205,294066.6,35.3287,502.205,502.7642,495.6068,43.938,#N/A N/A,96.3278,452.127
23/1/2015,ALT US Equity,447.0045,456.0046,462.0046,444.0044,229,444.0044,453.0045,#N/A N/A,#N/A N/A,745.8987,498.305,102882.9,33.2867,498.305,501.5041,495.4568,43.819,#N/A N/A,94.4266,448.7526
26/1/2015,ALT US Equity,453.0045,450.0045,474.0047,426.0418,450,459.0046,468.0047,#N/A N/A,#N/A N/A,752.3788,495.305,203660.1,35.9448,495.305,500.285,495.3968,44.04,#N/A N/A,95.6941,452.6523
27/1/2015,ALT US Equity,465.0047,453.0045,474.0047,441.0044,112,456.0046,465.0047,#N/A N/A,#N/A N/A,737.4875,493.3549,51390.45,41.0074,493.3549,499.385,495.5618,44.886,#N/A N/A,98.2291,459.5863
28/1/2015,ALT US Equity,465.4547,465.0047,486.0049,459.0046,212,465.0047,477.0048,#N/A N/A,#N/A N/A,692.8575,490.8274,99580.93,41.1951,490.8274,498.734,495.7291,44.691,#N/A N/A,98.3241,468.9593
29/1/2015,ALT US Equity,477.0048,471.0047,480.0048,462.0046,434,477.0048,480.0048,#N/A N/A,#N/A N/A,707.3116,488.1274,205659.2,45.9486,488.1274,498.494,495.9991,45.438,#N/A N/A,100.764,474.2819
30/1/2015,ALT US Equity,495.005,462.3421,507.0051,462.3421,266,495.005,504.005,#N/A N/A,#N/A N/A,716.1735,485.7274,129739.7,52.4056,485.7274,498.914,496.4041,46,#N/A N/A,104.5664,488.005
2/2/2015,ALT US Equity,480.0048,495.005,507.0051,465.0047,525,486.0049,498.005,#N/A N/A,#N/A N/A,721.0691,483.9273,251956,47.3313,483.9273,498.974,496.6441,46.731,#N/A N/A,101.3977,479.6226
3/2/2015,ALT US Equity,486.0049,498.005,504.005,486.0049,222,492.0049,498.005,#N/A N/A,#N/A N/A,720.7495,483.0273,109622.1,49.4402,483.0273,499.154,496.9441,41.72,#N/A N/A,102.6652,493.8502
4/2/2015,ALT US Equity,501.005,489.0049,519.0052,486.0049,318,501.005,513.0051,#N/A N/A,#N/A N/A,725.0792,482.8773,161719.4,54.3602,482.8773,499.514,497.3041,41.566,#N/A N/A,105.8339,508.077
5/2/2015,ALT US Equity,501.005,474.0047,513.0051,474.0047,418,501.005,507.0051,#N/A N/A,#N/A N/A,738.9977,482.8773,211778.2,54.3602,482.8773,500.234,497.6941,41.468,#N/A N/A,105.8339,507.1854
6/2/2015,ALT US Equity,513.0051,501.005,516.0052,489.0049,292,510.0051,516.0052,#N/A N/A,#N/A N/A,739.5775,482.2773,148269.7,58.1396,482.2773,500.894,498.0841,41.581,#N/A N/A,108.3688,507.1065
9/2/2015,ALT US Equity,507.0051,510.0051,516.0052,504.0425,150,507.0051,513.0051,#N/A N/A,#N/A N/A,744.5881,481.9773,76698.09,55.6578,481.9773,501.494,498.4594,41.384,#N/A N/A,107.1014,510.2373
10/2/2015,ALT US Equity,510.0051,513.0051,513.0051,507.0051,323,510.0051,513.0051,#N/A N/A,#N/A N/A,755.356,482.5773,164680.7,56.6541,482.5773,502.094,498.8494,40.794,#N/A N/A,107.7351,509.7894
11/2/2015,ALT US Equity,510.0051,510.0051,513.0051,507.0051,194,510.0051,513.0051,#N/A N/A,#N/A N/A,751.1534,483.6273,99102.16,56.6541,483.6273,502.094,499.2694,39.788,#N/A N/A,107.7351,510.1311
12/2/2015,ALT US Equity,513.0051,513.0051,519.0052,510.0051,279,510.0051,516.0052,#N/A N/A,#N/A N/A,748.3903,484.5273,142853.3,57.755,484.5273,502.514,499.6894,39.177,#N/A N/A,108.3688,512.9004
13/2/2015,ALT US Equity,513.0051,522.0052,522.0052,510.0051,59,510.0051,513.0051,#N/A N/A,#N/A N/A,733.9897,485.2774,30317.91,57.755,485.2774,502.334,500.1844,36.104,#N/A N/A,108.3688,514.2594
16/2/2015,ALT US Equity,513.0051,522.0052,522.0052,510.0051,59,510.0051,513.0051,#N/A N/A,#N/A N/A,733.9897,485.2774,30317.91,57.755,485.2774,502.334,500.1844,36.104,#N/A N/A,108.3688,514.2594
