Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
1/1/2015,CELH US Equity,,,,,,,,,,,,,,,,,,,,
2/1/2015,CELH US Equity,0.167,0.15,0.18,0.15,30000,0.14,0.167,#N/A N/A,#N/A N/A,18038.1,0.1607,4860.74,53.1724,0.1607,0.1597,0.2118,166.054,#N/A N/A,9.2578,0.162
5/1/2015,CELH US Equity,0.15,0.167,0.167,0.15,27456,0.153,0.167,#N/A N/A,#N/A N/A,18681.3,0.1596,4370.95,47.418,0.1596,0.1593,0.2116,165.971,#N/A N/A,8.3343,0.1592
6/1/2015,CELH US Equity,0.18,0.163,0.18,0.15,45945,0.15,0.18,#N/A N/A,#N/A N/A,19212.6,0.1609,7635.12,56.5444,0.1609,0.1594,0.2112,169.507,#N/A N/A,9.9984,0.1664
7/1/2015,CELH US Equity,0.173,0.15,0.173,0.15,47550,0.15,0.173,#N/A N/A,#N/A N/A,20285.6,0.1619,7197.92,54.2728,0.1619,0.1601,0.2105,169.837,#N/A N/A,9.6258,0.1514
8/1/2015,CELH US Equity,0.153,0.157,0.173,0.153,19500,0.152,0.173,#N/A N/A,#N/A N/A,20935.6,0.1619,3039.45,48.0837,0.1619,0.1597,0.2097,172.282,#N/A N/A,8.5172,0.1559
9/1/2015,CELH US Equity,0.173,0.173,0.173,0.173,1284,0.15,0.17,#N/A N/A,#N/A N/A,20978.4,0.1628,216.77,53.6881,0.1628,0.1597,0.2089,171.11,#N/A N/A,9.6096,0.1688
12/1/2015,CELH US Equity,0.173,0.173,0.173,0.173,1284,0.15,0.17,#N/A N/A,#N/A N/A,20198.1,0.1628,216.77,53.6881,0.1628,0.1597,0.2089,161.88,#N/A N/A,9.6096,0.1688
13/1/2015,CELH US Equity,0.167,0.167,0.167,0.167,756,0.15,0.17,#N/A N/A,#N/A N/A,19438.3,0.1633,121.17,51.7507,0.1633,0.1597,0.2079,149.058,#N/A N/A,9.2578,0.1603
14/1/2015,CELH US Equity,0.15,0.15,0.15,0.15,1665,0.151,0.17,#N/A N/A,#N/A N/A,19212.7,0.1627,250.36,47.0474,0.1627,0.1597,0.2068,151.483,#N/A N/A,8.3528,0.1504
15/1/2015,CELH US Equity,0.163,0.15,0.17,0.15,23232,0.15,0.167,#N/A N/A,#N/A N/A,19895.9,0.163,3873.34,50.8719,0.163,0.1593,0.2061,149.071,#N/A N/A,9.0726,0.1667
16/1/2015,CELH US Equity,0.15,0.17,0.17,0.15,35073,0.14,0.17,#N/A N/A,#N/A N/A,19601.6,0.1622,5418.45,47.1131,0.1622,0.1587,0.2053,151.604,#N/A N/A,8.3343,0.1545
19/1/2015,CELH US Equity,0.15,0.17,0.17,0.15,35073,0.14,0.17,#N/A N/A,#N/A N/A,19601.6,0.1622,5418.45,47.1131,0.1622,0.1587,0.2053,151.604,#N/A N/A,8.3343,0.1545
20/1/2015,CELH US Equity,0.15,0.146,0.15,0.146,5865,0.14,0.167,#N/A N/A,#N/A N/A,19797.1,0.162,877.95,47.1131,0.162,0.1585,0.2045,151.604,#N/A N/A,8.3343,0.1497
21/1/2015,CELH US Equity,0.167,0.15,0.167,0.15,6300,0.15,0.167,#N/A N/A,#N/A N/A,20007.1,0.1632,1044.81,52.2213,0.1632,0.159,0.204,155.251,#N/A N/A,9.2555,0.1658
22/1/2015,CELH US Equity,0.157,0.16,0.166,0.157,36288,0.15,0.166,#N/A N/A,#N/A N/A,19760.7,0.1638,5933.52,49.1512,0.1638,0.1593,0.2033,156.477,#N/A N/A,8.7023,0.1635
23/1/2015,CELH US Equity,0.17,0.153,0.17,0.153,65361,0.153,0.17,#N/A N/A,#N/A N/A,21070.1,0.164,10047.03,53.1249,0.164,0.1591,0.2027,158.088,#N/A N/A,9.4429,0.1537
26/1/2015,CELH US Equity,0.173,0.153,0.173,0.153,96060,0.153,0.173,#N/A N/A,#N/A N/A,24071.8,0.1637,16217.15,54.0908,0.1637,0.1597,0.2022,157.531,#N/A N/A,9.6281,0.1688
27/1/2015,CELH US Equity,0.165,0.165,0.165,0.165,2697,0.153,0.17,#N/A N/A,#N/A N/A,19033.9,0.1644,441.79,51.2477,0.1644,0.1593,0.2016,157.207,#N/A N/A,9.1652,0.1638
28/1/2015,CELH US Equity,0.213,0.173,0.213,0.173,207795,0.2,0.213,#N/A N/A,#N/A N/A,24417.1,0.1661,39299.61,63.2974,0.1661,0.1608,0.2013,174.424,#N/A N/A,11.85,0.1891
29/1/2015,CELH US Equity,0.253,0.217,0.253,0.213,93201,0.233,0.253,#N/A N/A,#N/A N/A,27523.8,0.1704,21338.34,69.9228,0.1704,0.1631,0.201,179.35,#N/A N/A,14.0718,0.2289
30/1/2015,CELH US Equity,0.243,0.243,0.247,0.217,236274,0.233,0.243,#N/A N/A,#N/A N/A,35399.6,0.1743,52823.1,66.682,0.1743,0.1651,0.2007,180.311,#N/A N/A,13.5164,0.2236
2/2/2015,CELH US Equity,0.247,0.25,0.257,0.227,77139,0.227,0.247,#N/A N/A,#N/A N/A,37804.4,0.1783,19130.8,67.2273,0.1783,0.1673,0.2006,175.154,#N/A N/A,13.7015,0.248
3/2/2015,CELH US Equity,0.25,0.247,0.25,0.237,64845,0.24,0.25,#N/A N/A,#N/A N/A,39370.5,0.1824,16132.74,67.7949,0.1824,0.1694,0.2003,173.968,#N/A N/A,13.8867,0.2488
4/2/2015,CELH US Equity,0.25,0.24,0.25,0.24,67620,0.243,0.25,#N/A N/A,#N/A N/A,41616.4,0.1874,16497.5,67.7949,0.1874,0.1713,0.2001,161.887,#N/A N/A,13.8867,0.244
5/2/2015,CELH US Equity,0.308,0.25,0.317,0.243,249402,0.29,0.303,#N/A N/A,#N/A N/A,49929.8,0.1938,73137.94,76.171,0.1938,0.1743,0.2002,164.981,#N/A N/A,17.1269,0.2933
6/2/2015,CELH US Equity,0.3,0.317,0.317,0.29,255750,0.293,0.3,#N/A N/A,#N/A N/A,58100.2,0.2002,76106.88,73.2404,0.2002,0.1774,0.2003,162.658,#N/A N/A,16.664,0.2976
9/2/2015,CELH US Equity,0.297,0.313,0.36,0.297,244695,0.293,0.31,#N/A N/A,#N/A N/A,66256.7,0.2073,80300.96,72.0463,0.2073,0.1798,0.2002,159.844,#N/A N/A,16.4789,0.3282
10/2/2015,CELH US Equity,0.3,0.313,0.313,0.297,48330,0.29,0.313,#N/A N/A,#N/A N/A,67867.7,0.2137,14597.5,72.5287,0.2137,0.1828,0.2003,159.732,#N/A N/A,16.664,0.302
11/2/2015,CELH US Equity,0.309,0.293,0.327,0.284,200670,0.297,0.31,#N/A N/A,#N/A N/A,74085.2,0.2208,59949.27,73.8873,0.2208,0.1861,0.2005,159.597,#N/A N/A,17.1825,0.2987
12/2/2015,CELH US Equity,0.33,0.31,0.35,0.31,220743,0.317,0.332,#N/A N/A,#N/A N/A,80383.2,0.2298,74558.56,76.6419,0.2298,0.1895,0.2007,159.931,#N/A N/A,18.3304,0.3378
13/2/2015,CELH US Equity,0.32,0.303,0.32,0.303,16722,0.305,0.32,#N/A N/A,#N/A N/A,79940.6,0.2376,5157,72.6326,0.2376,0.1922,0.2009,155.478,#N/A N/A,17.7726,0.3084
16/2/2015,CELH US Equity,0.32,0.303,0.32,0.303,16722,0.305,0.32,#N/A N/A,#N/A N/A,79940.6,0.2376,5157,72.6326,0.2376,0.1922,0.2009,155.478,#N/A N/A,17.7726,0.3084
17/2/2015,CELH US Equity,0.341,0.305,0.35,0.305,281190,0.307,0.343,#N/A N/A,#N/A N/A,89313.6,0.2472,92490.64,75.5835,0.2472,0.196,0.2012,152.99,#N/A N/A,18.9692,0.3289
18/2/2015,CELH US Equity,0.337,0.337,0.34,0.327,79851,0.333,0.34,#N/A N/A,#N/A N/A,91060.1,0.2565,26947.79,73.6643,0.2565,0.1991,0.2017,145.644,#N/A N/A,18.7007,0.3375
19/2/2015,CELH US Equity,0.35,0.337,0.357,0.304,95301,0.343,0.35,#N/A N/A,#N/A N/A,92705.3,0.2657,32670.27,75.5115,0.2657,0.2026,0.2021,144.455,#N/A N/A,19.4414,0.3428
20/2/2015,CELH US Equity,0.357,0.3,0.357,0.3,32994,0.35,0.357,#N/A N/A,#N/A N/A,92220.1,0.2757,10988.54,76.4028,0.2757,0.2067,0.2026,136.779,#N/A N/A,19.8117,0.333
23/2/2015,CELH US Equity,0.353,0.35,0.357,0.34,31197,0.343,0.353,#N/A N/A,#N/A N/A,92610,0.2849,10782.31,74.9343,0.2849,0.2107,0.2031,134.207,#N/A N/A,19.6265,0.3456
24/2/2015,CELH US Equity,0.35,0.353,0.357,0.333,92499,0.34,0.35,#N/A N/A,#N/A N/A,95650.5,0.2937,32238.04,73.192,0.2937,0.2146,0.2033,133.256,#N/A N/A,19.4136,0.3485
