Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
1/1/2015,FUBO US Equity,222002.2256,,,,,,,,,,,,,,,,,,,
2/1/2015,FUBO US Equity,222002.2256,222002.2256,222002.2256,222002.2256,0,63000.6316,222002.2256,#N/A N/A,#N/A N/A,0.0004,337323.3818,740,51.4226,337323.3818,#N/A N/A,#N/A N/A,1394.287,#N/A N/A,24.1162,222002.2256
5/1/2015,FUBO US Equity,222002.2256,222002.2256,222002.2256,222002.2256,0,153001.5339,900009.0228,#N/A N/A,#N/A N/A,0.0006,329673.3051,1295,51.4226,329673.3051,#N/A N/A,#N/A N/A,1364.932,#N/A N/A,24.1162,222002.2256
6/1/2015,FUBO US Equity,222002.2256,222002.2256,222002.2256,222002.2256,0,153001.5339,900009.0228,#N/A N/A,#N/A N/A,0.0006,329673.3051,1295,51.4226,329673.3051,#N/A N/A,#N/A N/A,1364.932,#N/A N/A,24.1162,222002.2256
7/1/2015,FUBO US Equity,222002.2256,222002.2256,222002.2256,222002.2256,0,153001.5339,900009.0228,#N/A N/A,#N/A N/A,0.0006,329673.3051,1295,51.4226,329673.3051,#N/A N/A,#N/A N/A,1364.932,#N/A N/A,24.1162,222002.2256
8/1/2015,FUBO US Equity,222002.2256,222002.2256,222002.2256,222002.2256,0,315003.158,900009.0228,#N/A N/A,#N/A N/A,0.0006,329673.3051,1295,51.4226,329673.3051,#N/A N/A,#N/A N/A,1364.932,#N/A N/A,24.1162,222002.2256
9/1/2015,FUBO US Equity,222002.2256,222002.2256,222002.2256,222002.2256,0,315003.158,900009.0228,#N/A N/A,#N/A N/A,0.0006,329673.3051,1295,51.4226,329673.3051,#N/A N/A,#N/A N/A,1364.932,#N/A N/A,24.1162,222002.2256
12/1/2015,FUBO US Equity,222002.2256,222002.2256,222002.2256,222002.2256,0,315003.158,900009.0228,#N/A N/A,#N/A N/A,0.0006,329673.3051,1295,51.4226,329673.3051,#N/A N/A,#N/A N/A,1364.932,#N/A N/A,24.1162,222002.2256
13/1/2015,FUBO US Equity,195001.9549,315003.158,315003.158,195001.9549,0,120001.203,285002.8572,#N/A N/A,#N/A N/A,0.001,321273.2208,2750,50.959,321273.2208,#N/A N/A,#N/A N/A,1337.922,#N/A N/A,21.1832,229168.9675
14/1/2015,FUBO US Equity,195001.9549,315003.158,315003.158,195001.9549,0,150001.5038,210002.1053,#N/A N/A,#N/A N/A,0.001,321273.2208,2750,50.959,321273.2208,#N/A N/A,#N/A N/A,1337.922,#N/A N/A,21.1832,229168.9675
15/1/2015,FUBO US Equity,210002.1053,150001.5038,210002.1053,150001.5038,0,105001.0527,210002.1053,#N/A N/A,#N/A N/A,0.0013,313023.1381,1553.8,51.2221,313023.1381,#N/A N/A,#N/A N/A,1312.208,#N/A N/A,22.8127,158876.8528
16/1/2015,FUBO US Equity,210002.1053,150001.5038,210002.1053,150001.5038,0,105001.0527,195001.9549,#N/A N/A,#N/A N/A,0.001,313023.1381,1553.8,51.2221,313023.1381,#N/A N/A,#N/A N/A,1312.208,#N/A N/A,22.8127,158876.8528
19/1/2015,FUBO US Equity,210002.1053,150001.5038,210002.1053,150001.5038,0,105001.0527,195001.9549,#N/A N/A,#N/A N/A,0.001,313023.1381,1553.8,51.2221,313023.1381,#N/A N/A,#N/A N/A,1312.208,#N/A N/A,22.8127,158876.8528
